age,11,13,14,15,16,18
192.5,65.8,117.3,36.0,55.7,34.5,189.0
893.7,61.6,60.1,111.5,81.8,39.5,182.9
1244.8,27.7,22.0,38.9,19.0,45.8,279.2
1357.5,58.1,88.9,113.0,87.4,28.6,217.6
1922.7,55.5,24.2,92.7,56.1,11.8,118.1
2237.3,45.4,122.3,61.0,80.1,46.5,670.2
2673.6,20.1,16.5,42.4,36.8,15.0,102.8
2870.9,44.7,18.9,76.4,54.5,9.5,68.3
2872.7,40.5,25.2,76.3,63.0,15.5,187.0
2996,23.0,44.2,63.6,45.7,28.7,123.0
3727.2,15.9,16,18.5,31.2,4.5,57.8
3729,35.7,24.4,46.3,69.0,10.0,130.0
4022.7,7.8,2.7,7.3,3.1,1.4,11.5
4520.5,35.6,34.0,51.6,25.4,57.8,663.4
5008.5,13.7,3.5,30.1,23.0,2.1,25.4
5483.8,36.7,37.3,50.9,35.7,14.1,136.6
5910.7,53.2,49.5,76.6,60.9,20.2,284.3
6571.4,50.9,60.8,69.5,65.7,28.7,193.6
6649.5,18.3,16.8,25.0,19.4,11.0,82.3
7737.5,48.9,45.7,73.6,53.3,26.3,195.7
7837.3,136.2,108.0,161.2,99.5,48.0,274.0
7837.7,154.6,160.1,163.8,135.8,56.3,444.8
8050.3,73.2,74.1,92.4,102.6,27.1,329.6
8050.3,26.5,30.3,39.5,41.8,12.9,131.8
8116.8,52.7,37.9,86.0,64.7,18.1,159.4
8184.2,29.0,27.7,69.6,64.8,13.1,93.2
8246.5,28.2,25.6,54.7,48.6,23.0,69.8
8246.9,56.9,60.1,49.4,46.7,22.6,150.6
8937.3,14.4,38.9,16.1,43.6,10.3,658.7
9127.5,153.1,164.7,156.1,181.0,28.3,1229.3
9229.4,161.9,260.2,128.3,290.4,41.2,2722.3
9229.4,32.1,49.1,38.4,68.0,13.6,585.7
9379.7,26.8,44.9,48.1,34.0,20.5,115.8
10877.6,65.9,33.5,98.4,64.3,9.7,171.2
11383.7,1.16E+01,3.10E+00,18.8,8.4,3.2,4.5
601.7,29.1,38.5,35.8,38.3,13.3,98.5
603.1,13.5,21.2,15.4,14.9,6.3,76.0
2059.4,23.3,28.5,28.0,31.2,8.6,90.1
2061.1,64.5,85.9,72.1,74.9,38.4,476.0
2673.6,20.2,25.9,31.4,32.8,15.5,256.9
2994.3,22.6,19.7,31.0,25.3,13.5,57.4
3206.3,7.9,6.1,9.0,17.3,2.1,214.9
3531.1,53.0,20.5,84.1,80.7,9.8,228.8
3531.1,22.8,7.8,27.2,27.4,5.4,77.1
3864.7,39.9,25.3,65.3,44.0,9.2,106.9
4612.4,115.9,56.9,167.1,125.3,20.5,566.4
5007.4,36.8,14.2,54.3,31.3,8.5,144.8
5402.7,37.1,17.5,72.3,89.4,8.8,385.2
7140.6,27.9,35.2,36.2,36.1,14.8,95.0
7250.1,92.4,72.3,135.5,132.0,22.7,1990.9
7906.6,179.8,93.5,219.1,129.7,47.0,253.1
7906.6,63.8,38.2,72.9,40.7,18.2,78.3
7907.6,134.7,103.4,181.4,123.9,64.2,320.9
8118,193.1,233.8,167.5,181.5,80.7,704.8
8184.6,83.1,158.3,111.7,163.2,48.4,864.6
8496.3,5.9,4.2,2,3.6,2.9,20.9
8497.5,75.8,80.4,75.5,65.5,23.6,234.5
8597.8,14.6,7,10.9,5.9,11.1,19.2
8695.7,131.6,132.7,132.7,141.5,34.0,756.3
8695.7,32.8,47.4,43.3,44.1,15.2,232.3
8820.4,207.2,165.0,206.4,112.7,65.8,417.2
8821.7,232.2,165.5,211.5,138.9,64.7,606.1
9695.6,182.6,228.2,161.8,145.5,67.5,473.3
9695.6,54.4,78.0,50.3,41.6,27.7,142.4
9896.3,4.79E+01,51.7,74,38.7,10.5,248.8
9897.2,6.2,5.2,6.3,6.8,1.8,37.4
10089.4,110.2,88.3,158.1,122.1,24.9,2618.7
10089.4,37.8,36.4,59.4,45.7,11.2,916.5
10740.2,144.0,69.6,154.4,94.8,22.2,256.4
10741.1,149.0,101.9,150.9,78.8,46.5,283.2
10741.1,58.7,45.7,54.3,34.0,32.7,102.8
10880.1,7.0,7.9,3.3,4.8,3.5,20.3
